AADAC	GO:0005789, GO:0004806, GO:0019213, GO:0010898, GO:0017171, GO:0052689, GO:0016787, GO:0016021
AANAT	GO:0005829, GO:0048471, GO:0071320, GO:0007623, GO:0006474, GO:0004059, GO:0004060, GO:0030187, GO:0008080
AARSD1	GO:0005524, GO:0004812, GO:0000166, GO:0043039
AASDHPPT	GO:0008897, GO:0000287, GO:0005829
AATK	GO:0004713, GO:0006468, GO:0004672, GO:0005524
ABCE1	GO:0005829, GO:0005737, GO:0005739, GO:0060698, GO:0060702, GO:0016887, GO:0005524
ABHD13	GO:0005737, GO:0008474, GO:0002084, GO:0032839
ABHD14B	GO:0005634, GO:0005654, GO:0005829, GO:0005730, GO:0045944, GO:0016787
ABHD17C	GO:0014069, GO:0008474, GO:0002084, GO:1902817, GO:1905668
ABHD8	GO:0003824
ACAD9	GO:0005634, GO:0005739, GO:0030425, GO:0032981, GO:0070991, GO:0051791, GO:0001676, GO:0004466, GO:0031966, GO:0003995, GO:0050660, GO:0016627, GO:0055114
ACAP2	GO:0005096, GO:0005515, GO:0001726, GO:0030029
ACAT1	GO:0005739, GO:0030955, GO:0006085, GO:0003985, GO:0015937, GO:0016747, GO:0016746, GO:0016453, GO:0006550, GO:0015936, GO:0046356, GO:0046952, GO:1902860, GO:0003824
ACBD4	GO:0000062
ACE	GO:0016020, GO:0008241, GO:0008237, GO:0006508
ACKR3	GO:0070374, GO:0005886, GO:0009986, GO:0043231, GO:0005768, GO:1902230, GO:0008285, GO:0005905, GO:0031623, GO:0005044, GO:0001570, GO:0016494, GO:0019958, GO:0070098, GO:0001525, GO:0015026, GO:0019956, GO:0006935, GO:0016021, GO:0007186, GO:0004930
ACLY	GO:0006085, GO:0003878, GO:0006101, GO:0046912, GO:0003824, GO:0005524, GO:0005654, GO:0005829, GO:0005886, GO:0008610, GO:0006107, GO:0048037
ACO2	GO:0005739, GO:0003994, GO:0006099, GO:0051539, GO:0005506, GO:0006101
ACOT8	GO:0047617, GO:0006637, GO:0052815, GO:0005777, GO:0005782, GO:0016559, GO:0016290, GO:0043649, GO:0045225
ACOX1	GO:0005737, GO:0042803, GO:0047485, GO:0007283, GO:0005777, GO:0006629, GO:0030165, GO:0005778, GO:0006091, GO:0006693, GO:0019395, GO:0003997, GO:0000038, GO:0033540, GO:0009062, GO:0006635, GO:0006631, GO:0050660, GO:0016627, GO:0071949, GO:0055114, GO:0050665, GO:0140493
ACP1	GO:0005737, GO:0005829, GO:0009898, GO:0042383, GO:0003993, GO:0016791, GO:0004726, GO:0004725, GO:0006470
ACP2	GO:0005764
ACP6	GO:0005737, GO:0002244, GO:0005739, GO:0052642, GO:0006644, GO:2001311
ACTB	GO:0042802, GO:0005634, GO:0034333, GO:0005911, GO:0098978, GO:0005829, GO:0032991, GO:0015629, GO:0030863, GO:0070160, GO:0005737, GO:0044305, GO:0048488, GO:0098685, GO:0098973, GO:0036464, GO:0048870, GO:0019901, GO:0035267, GO:1990904, GO:0032091, GO:0005856, GO:0030027, GO:0019894, GO:0098974, GO:0005912, GO:0050998, GO:0150111, GO:0043296, GO:0045176, GO:0098871, GO:0022898, GO:0001738, GO:0030957, GO:0007163, GO:0051621, GO:0071896, GO:0072749, GO:1903076
ACTG1	GO:0042802, GO:0071346, GO:0045335, GO:0048488, GO:0031625, GO:0070062, GO:0098685, GO:0045177, GO:0015629, GO:0005884, GO:0005522, GO:0045214, GO:0030016, GO:0005200, GO:0005911, GO:0010628, GO:0030335, GO:0090303, GO:0150111, GO:0043296, GO:0120192, GO:1902396, GO:0031941, GO:0044305, GO:0051893, GO:0001525, GO:0001738, GO:0051492, GO:0120220
ACTL6A	GO:0043967, GO:0043968, GO:0005634, GO:0005654, GO:0031011, GO:0035267, GO:0003682, GO:0001825, GO:0005886, GO:0006338, GO:0016514, GO:0071564, GO:0007399, GO:0003407, GO:0043044
ACTL7A	GO:0032991
ACTR1A	GO:0005813, GO:0015630, GO:0005737, GO:0099738, GO:0005869
