ID,LRT,p-value,K,Number of Sites,Condition,Significance,Group
OG10005,0.5068530285561792,0.4765043385003453,2.265073808370242e-4,782,Relaxation,Insignificant,Remaining
OG10044,0.6627641960603796,0.4155857710387493,0.6941371882982904,770,Relaxation,Insignificant,Remaining
OG10053,0.8884527796426482,0.3458969346295692,0.3432032188897367,774,Relaxation,Insignificant,Remaining
OG10072,6.696919043546586,0.009657965757943199,1.432580036159166,795,Intensification,Insignificant,Remaining
OG10075,1.616495140558982,0.2035811836050411,0.1078698200545744,789,Relaxation,Insignificant,Remaining
OG10101,2.22278122237185e-5,0.9962382770024595,1.00156546197004,784,Intensification,Insignificant,Remaining
OG10103,0.1394560033659218,0.7088224185213797,0.8395314046529151,789,Relaxation,Insignificant,Remaining
OG10128,177.967260179279,0,49.99999999999989,833,Intensification,Significant,Aipysurus laevis
OG10146,2.670768117241096e-5,0.9958765928481886,1.02012084583023,777,Intensification,Insignificant,Remaining
OG10157,1.70506068047689,0.1916274781853653,0.169835115910453,843,Relaxation,Insignificant,Remaining
OG10169,48.34595702135812,3.572808715546216e-12,5.959381327764739,912,Intensification,Significant,Remaining
OG10175,2.134269762895201,0.1440390396701567,14.91965734756309,765,Intensification,Insignificant,Remaining
OG1018,0.08291480576372123,0.77338553987385406,0.7914380084400009,1986,Relaxation,Insignificant,Remaining
OG10189,0.07906589658614394,0.7785672920233817,0.8414487952113602,805,Relaxation,Insignificant,Remaining
OG10200,3.151546443368716,0.07585504229014817,0.4586642540729657,767,Relaxation,Insignificant,Terrestrial
OG10212,0.01139401998807443,0.9149930470074834,1.142108905552079,741,Intensification,Insignificant,Terrestrial
OG10214,2.964995238236042,0.08508470848205507,0.646993544436932,776,Relaxation,Insignificant,Remaining
OG10220,1.692094228018505,0.1933251338210102,0.5357517757079397,772,Relaxation,Insignificant,Remaining
OG10226,1.466393401466121,0.2259155969756732,0.4934067148305141,764,Relaxation,Insignificant,Remaining
OG10227,21.05340319612878,4.466588266249794e-6,5.956297906522732,793,Intensification,Significant,Aipysurus laevis
OG10228,0.05609574604204681,0.8127767251496679,17.4780048927221,762,Intensification,Insignificant,Remaining
OG10232,142.1351704816916,0,17.02702188670226,760,Intensification,Significant,Aipysurus laevis
OG10246,2.858867479641049,0.09087145701036525,0.466959853727116,784,Relaxation,Insignificant,Terrestrial
OG10255,3.70069237894586,0.05438989376583936,0.07848560575550931,803,Relaxation,Insignificant,Terrestrial
OG10296,1.46828454079332,0.22561654972263331,0.445466666991555,777,Relaxation,Insignificant,Remaining
OG10314,0.1873728954697071,0.6651121876878182,0.5377888187081293,783,Relaxation,Insignificant,Remaining
OG10324,0.1520513260275038,0.6965826950915104,0.8046235839201827,822,Relaxation,Insignificant,Remaining
OG10333,0.7434497700824068,0.3885580298782504,0.1760536028748682,767,Relaxation,Insignificant,Remaining
OG10351,0.7872785256740826,0.3749243102531414,0.3943077517342675,779,Relaxation,Insignificant,Remaining
OG10359,35.41433700466587,2.665178411298541e-9,7.846414040748767,788,Intensification,Significant,Aipysurus laevis
OG10363,49.67146665129349,1.817657135916306e-12,9.667638809499616,796,Intensification,Significant,Aipysurus laevis
OG10371,20.86183491755764,4.936327157922804e-6,2.878726256701208,774,Intensification,Significant,Aipysurus laevis
OG10376,0.4069176839802822,0.5235381277279101,0.7874789285361661,793,Relaxation,Insignificant,Remaining
OG10381,4.698394179144998,0.03019081275741597,1.372857038076653e-4,781,Relaxation,Insignificant,Terrestrial
OG10390,11.60062158724031,6.592977985735438e-4,4.229548582543758,796,Intensification,Significant,Remaining
OG10394,1.087009419037713,0.2971347761039488,0.5579329143685504,769,Relaxation,Insignificant,Terrestrial
OG10399,0.04187831034232659,0.8378519107264345,0.8856190758758844,765,Relaxation,Insignificant,Remaining
OG10411,4.615865342624602,0.03167750832565719,0.2959352544292769,787,Relaxation,Insignificant,Remaining
OG10439,0.8616219772675322,0.3532851905950326,1.498930198844534,770,Intensification,Insignificant,Remaining
OG1046,0.01492926234277547,0.9027522201450807,1.086243614463098,1959,Intensification,Insignificant,Remaining
OG10480,0.4852541466752882,0.4860519936591176,1.521689775156973,764,Intensification,Insignificant,Remaining
OG10532,11.67173975445166,6.345664279262531e-4,0.104659472925138,765,Relaxation,Significant,Terrestrial
OG1054,30.34112683399144,3.6236078360119e-8,49.99999999999989,1935,Intensification,Significant,Aipysurus laevis
OG10550,0.008242254062679422,0.9276619506385816,1.083360621692773,789,Intensification,Insignificant,Remaining
OG10564,1.24429721452816,0.2646444802261143,0.6637864816905483,752,Relaxation,Insignificant,Aipysurus laevis
OG10565,0.9037775038932523,0.3417708389092795,1.527617966816238,770,Intensification,Insignificant,Remaining
OG10606,7.626536193224638,0.005751565797980196,4.604686095391797e-5,772,Relaxation,Insignificant,Terrestrial
OG10616,5.664238051394932e-5,0.9939950871315822,1.008070878486248,757,Intensification,Insignificant,Remaining
OG10641,12.91249276720191,3.263963161482808e-4,0.06397198828498991,751,Relaxation,Significant,Terrestrial
OG10659,1.122603916102889,0.2893584536548987,0.7334820893763295,749,Relaxation,Insignificant,Remaining
OG10673,0.1615657245920374,0.6877190645053712,0.8474605100651593,767,Relaxation,Insignificant,Remaining
OG10682,1.372109505558001,0.2414497719761373,0.4442481277300788,754,Relaxation,Insignificant,Terrestrial
OG10765,80.78985848078082,0,11.91381408895404,789,Intensification,Significant,Aipysurus laevis
OG10776,3.260005110418206,0.07098890515678036,0,762,Relaxation,Insignificant,Terrestrial
OG10801,1.046898096989935,0.3062225661664864,0.1126072530880896,792,Relaxation,Insignificant,Remaining
OG10813,15.58890656188487,7.871505659939881e-5,10.82572899943757,752,Intensification,Significant,Remaining
OG10815,1.300666629943407,0.2540914919455863,0.4940746509037835,777,Relaxation,Insignificant,Remaining
OG10829,2.392703076531689,0.1219026827069301,0.2160209603701118,769,Relaxation,Insignificant,Terrestrial
OG1084,5.274903710578656,0.02163498448236434,6.038142949095942,1965,Intensification,Insignificant,Terrestrial
OG10862,6.725324955591532,0.00950534113913859,40.47791932283843,745,Intensification,Insignificant,Remaining
OG10877,10.56265749482372,0.001153951761366678,0.2502334641532264,869,Relaxation,Insignificant,Terrestrial
OG10882,38.57886517046427,5.258528057439094e-10,3.161328655231577e-6,796,Relaxation,Significant,Terrestrial
OG10900,1.233630388523125,0.2667021740230139,1.37515585070781,753,Intensification,Insignificant,Aipysurus laevis
OG10922,1.935876628088408,0.1641169437274757,1.708928766618205,740,Intensification,Insignificant,Remaining
OG10932,59.89745181539911,9.992007221626409e-15,49.99999999999989,865,Intensification,Significant,Aipysurus laevis
OG10939,6.301996278480146,0.01206020840858446,2.089522300215286e-6,761,Relaxation,Insignificant,Terrestrial
OG10947,0.698673058627719,0.4032299253340544,22.56180340115644,758,Intensification,Insignificant,Remaining
OG10948,10.04431197448503,0.001528190688311892,4.753086688278908,812,Intensification,Insignificant,Remaining
OG10965,4.531853493253948,0.0332695657249672,3.512707707640033,753,Intensification,Insignificant,Terrestrial
OG10989,64.40292551868697,9.992007221626409e-16,49.99999999999989,809,Intensification,Significant,Aipysurus laevis
OG10992,0.7400477497612883,0.3896455826437637,0.5034871137446071,758,Relaxation,Insignificant,Remaining
OG11019,5.799530577274709,0.01603045377971757,2.377381563505906,743,Intensification,Insignificant,Remaining
OG1102,3.337948602562392,0.06769896278693355,1.889239864300904,1943,Intensification,Insignificant,Remaining
OG11020,0.4632861072213927,0.496092197868529,1.283678449108343,742,Intensification,Insignificant,Remaining
OG11042,2.607421958399755,0.1063645501079356,0.1578579139118148,740,Relaxation,Insignificant,Remaining
OG11043,56.57701797713162,5.406786129924512e-14,2.125292938900868e-6,748,Relaxation,Significant,Terrestrial
OG11053,0.4675577941206939,0.4941128481409961,0.3644855866309778,738,Relaxation,Insignificant,Remaining
OG1106,1.29651799203566,0.2548502333471049,1.773167598716408,1889,Intensification,Insignificant,Remaining
OG11060,0.146101717219608,0.7022888850504942,0.9122161324460898,746,Relaxation,Insignificant,Terrestrial
OG11080,0.009927012265507074,0.9206345880238989,1.044567071259024,795,Intensification,Insignificant,Remaining
OG11089,8.65787848852051e-4,0.9765262140323894,0.9871562175224491,733,Relaxation,Insignificant,Remaining
OG11091,23.29506134497205,1.389563491493995e-6,49.99999999999989,748,Intensification,Significant,Aipysurus laevis
OG11095,0.2648064247096045,0.6068371391500175,0.9479619861435181,816,Relaxation,Insignificant,Remaining
OG11116,0.09686338465598965,0.7556266674319675,1.13441627661115,740,Intensification,Insignificant,Remaining
OG11134,0.684712775265325,0.4079686053793573,0.5665731002355128,748,Relaxation,Insignificant,Remaining
OG11148,14.3561996501021,1.512807317951559e-4,3.270439960866257e-6,734,Relaxation,Significant,Terrestrial
OG11158,0.05110140041779232,0.8211577190047006,0.9158887924948794,729,Relaxation,Insignificant,Terrestrial
OG11161,0.4665263718179631,0.4945895554036072,0.7217393504044353,736,Relaxation,Insignificant,Remaining
OG11175,0.02874974361839122,0.865358153641137,0.908790357746636,741,Relaxation,Insignificant,Remaining
OG1119,7.914528711560706,0.004903935367525647,0.1103703389398761,1963,Relaxation,Insignificant,Terrestrial
OG11191,0.2429259336258838,0.6221007924277411,0.8375051480592202,752,Relaxation,Insignificant,Remaining
OG1121,0.9902374261073419,0.3196843524590103,1.908931770958934,2431,Intensification,Insignificant,Terrestrial
OG11210,2.49547488479584,0.1141739326575243,0.4401588575745022,739,Relaxation,Insignificant,Remaining
OG11230,0.0353686614344042,0.8508252447816442,0.9241979806652771,747,Relaxation,Insignificant,Remaining
OG11247,0.3169642221682807,0.5734377733622884,0.7915499844162691,731,Relaxation,Insignificant,Remaining
OG11255,0.1241689851167393,0.7245561497605448,0.3918534335050923,771,Relaxation,Insignificant,Remaining
OG11261,1.661398104605723,0.1974146603425124,0.2882271786941875,717,Relaxation,Insignificant,Remaining
OG11289,1.413982270827546,0.2343964370077235,1.733111977048069,739,Intensification,Insignificant,Remaining
OG11322,0.3419697554800223,0.5586944424788425,0.7615232442039068,731,Relaxation,Insignificant,Remaining
