Dataset,Gene,Species,GO-term,Term,Definition,Ontology
Four,ITGB6,aipysurusLaevis,GO:0005925,focal adhesion,A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ).,CC
Four,ITGB6,aipysurusLaevis,GO:0034685,integrin alphav-beta6 complex,An integrin complex that comprises one alphav subunit and one beta6 subunit.,CC
Four,ITGB6,aipysurusLaevis,GO:0043129,surfactant homeostasis,Any process involved in the maintenance of a steady-state level of the surface-active lipoprotein mixture which coats the alveoli.,BP
Four,ITGB6,aipysurusLaevis,GO:0055091,phospholipid homeostasis,Any process involved in the maintenance of an internal steady state of phospholipid within an organism or cell.,BP
Four,ITGB6,aipysurusLaevis,GO:0060022,hard palate development,"The biological process whose specific outcome is the progression of the hard palate from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. The hard palate is the anterior portion of the palate consisting of bone and mucous membranes.",BP
Four,ITGB6,aipysurusLaevis,GO:0061520,Langerhans cell differentiation,The process in which a precursor cell type acquires the specialized features of a Langerhans cell.,BP
Four,EZH2,aipysurusLaevis,GO:0046976,histone methyltransferase activity (H3-K27 specific),Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 27) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 27). This reaction is the addition of a methyl group onto lysine at position 27 of the histone H3 protein.,MF
Four,EZH2,aipysurusLaevis,GO:0035098,ESC/E(Z) complex,"A multimeric protein complex that can methylate lysine-27 and lysine-9 residues of histone H3. In Drosophila the core subunits of the complex include ESC, E(Z), CAF1 (NURF-55) and SU(Z)12. In mammals the core subunits of the complex include EED, EZH2, SUZ12 and RBBP4.",CC
Four,EZH2,aipysurusLaevis,GO:0034244,negative regulation of transcription elongation from RNA polymerase II promoter,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides, catalyzed by RNA polymerase II.",BP
Four,EZH2,aipysurusLaevis,GO:0097421,liver regeneration,The regrowth of lost or destroyed liver.,BP
