Dataset,Gene,Species,GO-term,Term,Definition,Ontology
Four,CTNNB1,aipysurusLaevis,GO:0045296,cadherin binding,"Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion.",MF
Four,CTNNB1,aipysurusLaevis,GO:0005515,protein binding,Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).,MF
Four,CTNNB1,aipysurusLaevis,GO:0007155,cell adhesion,"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules.",BP
Four,ITGB6,aipysurusLaevis,GO:0000902,cell morphogenesis,The developmental process in which the size or shape of a cell is generated and organized.,BP
Four,ITGB6,aipysurusLaevis,GO:0005654,nucleoplasm,That part of the nuclear content other than the chromosomes or the nucleolus.,CC
Four,ITGB6,aipysurusLaevis,GO:0009986,cell surface,The external part of the cell wall and/or plasma membrane.,CC
Four,ITGB6,aipysurusLaevis,GO:0005813,centrosome,"A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle.",CC
Four,ITGB6,aipysurusLaevis,GO:0007179,transforming growth factor beta receptor signaling pathway,"A series of molecular signals initiated by the binding of an extracellular ligand to a transforming growth factor beta receptor on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription.",BP
Four,ITGB6,aipysurusLaevis,GO:0043235,receptor complex,"Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.",CC
Four,ITGB6,aipysurusLaevis,GO:0030054,cell junction,"A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella.",CC
Four,ITGB6,aipysurusLaevis,GO:0005925,focal adhesion,A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ).,CC
Four,ITGB6,aipysurusLaevis,GO:0006954,inflammatory response,"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages.",BP
Four,ITGB6,aipysurusLaevis,GO:0009897,external side of plasma membrane,The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface.,CC
